nazwa_leku,substancja_czynna,postac_leku,dawka_leku,zawartosc_opakowania,identyfikator_leku,lp
Bemfola,Follitropinum alfa, roztwór do wstrzykiwañ, 150 j.m./0.25 ml,1 wstrzykiwacz po 0;25 ml,05997001308486,767
Bemfola,Follitropinum alfa, roztwór do wstrzykiwañ, 225 j.m./0.375 ml,1 wstrzykiwacz po 0;375 ml,05997001308493,768
Bemfola,Follitropinum alfa, roztwór do wstrzykiwañ, 300 j.m./0.5 ml,1 wstrzykiwacz po 0;5 ml,05997001308509,769
Bendamustine Accord,Bendamustini hydrochloridum, proszek do sporz¹dzania koncentratu roztworu do infuzji, 2.5 mg/ml,5 fiol.po 25 mg,05909991198145,770
Bendamustine Accord,Bendamustini hydrochloridum, proszek do sporz¹dzania koncentratu roztworu do infuzji, 2.5 mg/ml,5 fiol.po 100 mg,05909991198183,771
Bendamustine Glenmark,Bendamustini hydrochloridum, proszek do sporz¹dzania koncentratu roztworu do infuzji, 2.5 mg/ml,5 fiol. (25 mg),05902020241492,772
Bendamustine Glenmark,Bendamustini hydrochloridum, proszek do sporz¹dzania koncentratu roztworu do infuzji, 2.5 mg/ml,5 fiol. (100 mg),05902020241508,773
Bendamustine Zentiva,Bendamustini hydrochloridum, proszek do sporz¹dzania koncentratu roztworu do infuzji, 2.5 mg/ml,5 fiol.po 100 mg,05909991267285,774
Bendamustine Zentiva,Bendamustini hydrochloridum, proszek do sporz¹dzania koncentratu roztworu do infuzji, 2.5 mg/ml,5 fiol.po 25 mg,05909991267292,775
BeneFIX,Nonacog alfa, proszek i rozpuszczalnik do sporz¹dzania roztworu do wstrzykiwañ, 250 j.m.,1 fiol. + 1 amp.-strz. + 1 zestaw,05909990057184,776
BeneFIX,Nonacog alfa, proszek i rozpuszczalnik do sporz¹dzania roztworu do wstrzykiwañ, 500 j.m.,1 fiol. + 1 amp.-strz. + 1 zestaw,05909990057191,777
BeneFIX,Nonacog alfa, proszek i rozpuszczalnik do sporz¹dzania roztworu do wstrzykiwañ, 1000 j.m.,1 fiol. + 1 amp.-strz. + 1 zestaw,05909990057207,778
BeneFIX,Nonacog alfa, proszek i rozpuszczalnik do sporz¹dzania roztworu do wstrzykiwañ, 2000 j.m.,1 fiol. + 1 amp.-strz. + 1 zestaw,05909990057221,779
Benodil,Budesonidum, zawiesina do nebulizacji, 0.125 mg/ml,20 amp.po 2 ml,05909991283629,780
Benodil,Budesonidum, zawiesina do nebulizacji, 0.25 mg/ml,20 amp.po 2 ml,05909991283650,781
Benodil,Budesonidum, zawiesina do nebulizacji, 0.5 mg/ml,20 amp.po 2 ml,05909991283698,782
Beovu,Brolucizumabum, roztwór do wstrzykiwañ, 120 mg/ml,1 amp.-strzyk. 0;165 ml,07613421034993,783
Beriate 1000,Factor VIII coagulationis humanus, proszek i rozpuszczalnik do sporz¹dzania roztworu do wstrzykiwañ lub infuzji, 1000 j.m.,1 fiol.z prosz. + 1 fiol.z rozp.po 10 ml,05909991213695,784
Beriate 500,Factor VIII coagulationis humanus, proszek i rozpuszczalnik do sporz¹dzania roztworu do wstrzykiwañ lub infuzji, 500 j.m.,1 fiol.z prosz. + 1 fiol.z rozp.po 5 ml,05909991213688,785
Berinert 1500,Inhibitor C1-esterazy; ludzki, proszek i rozpuszczalnik do sporz¹dzania roztworu do wstrzykiwañ, 1500 j.m.,1 fiol.z proszkiem + 1 fiol.z wod¹ do wstrzykiwañ po 3 ml,05909991213053,786
Berinert 500,Inhibitor C1-esterazy; ludzki, proszek i rozpuszczalnik do sporz¹dzania roztworu do wstrzykiwañ lub infuzji, 500 j.m.,1 fiol. z prosz. + 1 fiol. z rozp. + 1 zestaw do podawania,05909990713639,787
Berodual,Fenoteroli hydrobromidum + Ipratropii bromidum, roztwór do nebulizacji; 0,5+0.25 mg/ml,20 ml,05909990101917,788
Berodual N,Fenoteroli hybrobromidum + Ipratropii bromidum, aerozol inhalacyjny; roztwór, 50+21 µg/dawkê inhalacyjn¹,1 poj.po 200 dawek,05909990917815,789
Berotec N 100,Fenoteroli hydrobromidum, aerozol inhalacyjny; roztwór, 100 µg/dawkê,1 poj.po 10 ml (200 daw.),05909990376414,790
Besponsa,Inotuzumabum ozogamicini, proszek do sporz¹dzania koncentratu roztworu do infuzji, 1 mg,1 fiol. proszku,05907636977193,791
Bespres,Valsartanum, tabl. powl., 80 mg,28 szt. (2 blist.po 14 szt.),05909990751594,792
Bespres,Valsartanum, tabl. powl., 160 mg,28 szt. (2 blist.po 14 szt.),05909990751877,793
Betacal,Calcipotriolum + Betamethasonum, ¿el, (50 µg+0.5 mg)/g,1 but.po 30 g,05901549565249,794
Betacal,Calcipotriolum + Betamethasonum, ¿el, (50 µg+0.5 mg)/g,1 but.po 60 g,05901549565256,795
Betaferon,Interferon beta-1b, proszek i rozpuszczalnik do sporz¹dzania roztworu do wstrzykiwañ, 300 ?g,15 zest.,05909990619375,796
Betoptic S,Betaxololum, krople do oczu; zawiesina, 2.5 mg/ml,5 ml,05909990186518,797
Betoptic S,Betaxololum, krople do oczu; zawiesina, 2.5 mg/ml,10 ml,05909990186525,798
Biatain Adhesive 10x10 cm,Emplastri microfibricum cellulosae, samoprzylepny opatrunek piankowy, 100 cm?,1 szt.,5708932861557,799
Biatain Adhesive 12.5x12.5 cm,Emplastri microfibricum cellulosae, samoprzylepny opatrunek piankowy, 156.25 cm?,1 szt.,5708932861571,800
Biatain Adhesive 18x18 cm,Emplastri microfibricum cellulosae, samoprzylepny opatrunek piankowy, 324 cm?,1 szt.,5708932861564,801
Biatain Adhesive 7.5x7.5 cm,Emplastri microfibricum cellulosae, samoprzylepny opatrunek piankowy, 56.25 cm?,1 szt.,5708932861540,802
Biatain Adhesive Heel 19x20 cm,Emplastri microfibricum cellulosae, samoprzylepny opatrunek piankowy na piêtê, 380 cm?,1 szt.,5708932861526,803
Biatain Adhesive Sacral 23x23 cm,Emplastri microfibricum cellulosae, samoprzylepny opatrunek piankowy na okolicê krzy¿ow¹, 529 cm?,1 szt.,5708932861533,804
Biatain Ag Adhesive 15x15 cm,Emplastri antimicrobiotica, przylepny opatrunek piankowy ze srebrem, 225 cm?,1 szt.,5708932551601,805
Biatain Ag Adhesive 18x18 cm,Emplastri antimicrobiotica, przylepny opatrunek piankowy ze srebrem, 324 cm?,1 szt.,5708932861496,806
Biatain Ag Adhesive Heel 19x20 cm,Emplastri antimicrobiotica, przylepny opatrunek piankowy ze srebrem; na piêtê, 380 cm?,1 szt.,5708932551632,807
Biatain Ag Adhesive Sacral 23x23 cm,Emplastri antimicrobiotica, przylepny opatrunek piankowy ze srebrem; na okolicê krzy¿ow¹, 529 cm?,1 szt.,5708932861489,808
Biatain Ag Non Adhesive 10x20 cm,Emplastri antimicrobiotica, nieprzylepny opatrunek piankowy ze srebrem, 200 cm?,1 szt.,5708932861519,809
Biatain Ag Non Adhesive 15x15 cm,Emplastri antimicrobiotica, opatrunek piankowy ze srebrem; nieprzylepny, 225 cm?,1 szt.,5708932481922,810
Biatain Ag Non Adhesive 20x20 cm,Emplastri antimicrobiotica, nieprzylepny opatrunek piankowy ze srebrem, 400 cm?,1 szt.,5708932861502,811
Biatain Non Adhesive 10x10 cm,Emplastri microfibricum cellulosae, nieprzylepny opatrunek piankowy, 100 cm?,1 szt.,5708932476300,812
Biatain Non Adhesive 15x15 cm,Emplastri microfibricum cellulosae, nieprzylepny opatrunek piankowy, 225 cm?,1 szt.,5708932476294,813
Biatain Silicone 12.5x12.5 cm,Emplastri hydrocolloidosa, opatrunek piankowy z silikonem, 156.25 cm?,1 szt.,5708932699136,814
Biatain Super Adhesive 10x10 cm,Emplastri microfibricum cellulosae, przylepny opatrunek hydrokapilarny, 100 cm?,1 szt.,5708932551540,815
Biatain Super Adhesive 15x15 cm,Emplastri microfibricum cellulosae, przylepny opatrunek hydrokapilarny, 225 cm?,1 szt.,5708932551571,816
Biatain Super Adhesive 20x20 cm,Emplastri microfibricum cellulosae, samoprzylepny opatrunek hydrokapilarny, 400 cm?,1 szt.,5708932861588,817
Bicalutamide Accord,Bicalutamidum, tabl. powl., 50 mg,28 szt.,05909990851188,818
Bicardef 10 mg,Bisoprololum, tabl. powl., 10 mg,60 tabl.,05909991197049,819
Bicardef 10 mg,Bisoprololum, tabl. powl., 10 mg,90 tabl.,05909991197056,820
Bicardef 5 mg,Bisoprololum, tabl. powl., 5 mg,90 tabl.,05909991197063,821
Bicardef 5 mg,Bisoprololum, tabl. powl., 5 mg,60 tabl.,05909991197070,822
Bimaroz,Bimatoprostum, krople do oczu; roztwór, 0.3 mg/ml,1 butelka 3 ml,05909991105594,823
Bimaroz,Bimatoprostum, krople do oczu; roztwór, 0.3 mg/ml,3 butelki 3 ml,05909991105600,824
Bimaroz Duo,Bimatoprostum + Timololum, krople do oczu, 0.3+5 mg/ml,1 but.po 3 ml,05909991376772,825
Bimaroz Duo,Bimatoprostum + Timololum, krople do oczu, 0.3+5 mg/ml,3 but.po 3 ml,05909991376789,826
Bimatoprost Genoptim,Bimatoprostum, krople do oczu; roztwór, 0.3 mg/ml,3 butelki po 3 ml,05907553017644,827
Bimican,Bimatoprostum, krople do oczu; roztwór, 0.3 mg/ml,1 but.po 3 ml,05909991097066,828
Bimican,Bimatoprostum, krople do oczu; roztwór, 0.3 mg/ml,3 but.po 3 ml,05909991097073,829
Bimifree,Bimatoprostum, krople do oczu; roztwór, 0.3 mg/ml,1 but.po 3 ml,05909991335663,830
Bimifree,Bimatoprostum, krople do oczu; roztwór, 0.3 mg/ml,3 but.po 3 ml,05909991335670,831
Bimifree Combi,Bimatoprostum + Timololum, krople do oczu; roztwór, 0.3+5 mg/ml,1 but.po 3 ml,05909991422356,832
Bimifree Combi,Bimatoprostum + Timololum, krople do oczu; roztwór, 0.3+5 mg/ml,3 but.po 3 ml,05909991422363,833
Binabic,Bicalutamidum, tabl. powl., 50 mg,28 szt.,05909990696963,834
Binabic,Bicalutamidum, tabl. powl., 150 mg,28 szt.,05909990697427,835
Binocrit,Epoetinum alfa, roztwór do wstrzykiwañ, 1000 j.m./0.5 ml,6 amp.-strz.po 0;5 ml,05909990072378,836
Binocrit,Epoetinum alfa, roztwór do wstrzykiwañ, 2000 j.m./ml,6 amp-strz.po 1 ml,05909990072392,837
Binocrit,Epoetinum alfa, roztwór do wstrzykiwañ, 3000 j.m./0.3 ml,6 amp-strz.po 0;3 ml,05909990072439,838
Binocrit,Epoetinum alfa, roztwór do wstrzykiwañ, 4000 j.m./0.4 ml,6 amp-strz.po 0;4 ml,05909990072453,839
Binocrit,Epoetinum alfa, roztwór do wstrzykiwañ, 5000 j.m./0.5 ml,6 amp.-strz.po 0;5 ml,05909990072477,840
Biodribin,Cladribinum, roztwór do infuzji, 10 mg,1 fiol.po 10 ml,05909990713417,841
Biofibrat,Fenofibrate, kaps. twarde, 200 mg,30 szt.,05909990754496,842
Biofibrat,Fenofibratum, kaps. twarde, 267 mg,30 szt.,05909990754526,843
Biofuroksym,Cefuroximum, proszek do sporz¹dzania roztworu lub zawiesiny do wstrzykiwañ, 750 mg,17 ml,05909990059416,844
Biofuroksym,Cefuroximum, proszek do sporz¹dzania roztworu do wstrzykiwañ, 1500 mg,26 ml,05909990059515,845
Biofuroksym,Cefuroximum, proszek do sporz¹dzania roztworu lub zawiesiny do wstrzykiwañ, 250 mg,17 ml,05909990806812,846
Biofuroksym,Cefuroximum, proszek do sporz¹dzania roztworu lub zawiesiny do wstrzykiwañ, 500 mg,17 ml,05909990806911,847
Bioprazol,Omeprazolum, kaps. twarde, 20 mg,28 szt.,05909990880225,848
Bioprazol,Omeprazolum, kaps. dojel. twarde, 40 mg,28 szt.,05909991140779,849
Bioprazol,Omeprazolum, kaps. dojelitowe twarde, 40 mg,56 szt.,05909991140809,850
Bioracef,Cefuroximum, tabl. powl., 500 mg,10 szt.,05909990063697,851
Bioracef,Cefuroximum, tabl. powl., 500 mg,14 szt.,05909990063703,852
Bioracef,Cefuroximum, tabl. powl., 250 mg,10 szt.,05909990063840,853
Bioracef,Cefuroximum, tabl. powl., 250 mg,14 szt.,05909990063857,854
Bioxetin,Fluoxetinum, tabl., 20 mg,30 szt.,05909990372317,855
Bi-Profenid,Ketoprofenum, tabl. o zmodyfikowanym uwalnianiu, 150 mg,20 szt.,05909990412112,856
Biprolast,Brimonidini tartras, krople do oczu; roztwór, 2 mg/ml,3 but.po 5 ml,05906414000900,857
Biprolast,Brimonidini tartras, krople do oczu; roztwór, 2 mg/ml,1 but.po 5 ml,05909990874194,858
Biseptol,Sulfamethoxazolum + Trimethoprimum, zawiesina doustna, 200+40 mg/5 ml,1 but.po 100 ml,05909990117819,859
Biseptol 120,Sulfamethoxazolum + Trimethoprimum, tabl., 100+20 mg,20 szt.,05909990117529,860
Biseptol 480,Sulfamethoxazolum + Trimethoprimum, tabl., 400+80 mg,20 szt.,05909990117611,861
Biseptol 960,Sulfamethoxazolum + Trimethoprimum, tabl., 800+160 mg,10 szt.,05909990117710,862
Bisoprolol VP,Bisoprololum, tabletki, 5 mg,30 tabl.,05909991151911,863
Bisoprolol VP,Bisoprololum, tabletki, 10 mg,30 tabl.,05909991152017,864
Bisoratio 10,Bisoprololi fumaras, tabl., 10 mg,30 szt.,05909991015114,865
Bisoratio 5,Bisoprololi fumaras, tabl., 5 mg,30 szt.,05909991015015,866
Bixebra,Ivabradinum, tabl., 5 mg,56 szt.,05909991286613,867
Bixebra,Ivabradinum, tabl., 7.5 mg,56 szt.,05909991286927,868
Bixebra,Ivabradinum, tabl. powl., 7.5 mg,56 szt.,05909991351274,869
Bixebra,Ivabradinum, tabl. powl., 7.5 mg,56 szt.,05909991427511,870
Bixebra,Ivabradinum, tabl. powl., 5 mg,56 szt.,05909991427764,871
Bixebra,Ivabradinum, tabl. powl., 5 mg,56 szt.,05909991452278,872
Bixebra,Ivabradinum, tabl. powl., 7.5 mg,56 szt.,05909991452285,873
Bixebra,Ivabradinum, tabl. powl., 5 mg,56 szt.,05909991465377,874
Bixebra,Ivabradinum, tabl. powl., 7.5 mg,56 szt.,05909991466046,875
Bleomedac,Bleomycini sulphas, proszek do sporz¹dzania roztworu do wstrzykiwañ, 15000 IU/fiolkê,1 fiol.po 10 ml,05909990946983,876
Blincyto,Blinatumomabum, proszek do sporz¹dzania koncentratu roztworu do infuzji, 38.5 µg,1 fiol.prosz. + 1 fiol.roztw.stabilizuj¹cego 10ml,05909991256371,877
Blitzima,Rituximabum, koncentrat do sporz¹dzania roztworu do infuzji, 500 mg,1 fiol.po 50 ml,05996537002158,878
Blitzima,Rituximabum, koncentrat do sporz¹dzania roztworu do infuzji, 100 mg,2 fiol.po 10 ml,05996537003155,879
Bonogren,Quetiapinum, tabl. powl., 25 mg,30 szt.,05909990719389,880
Bonogren,Quetiapinum, tabl. powl., 100 mg,60 szt.,05909990719853,881
Bonogren,Quetiapinum, tabl. powl., 200 mg,60 szt.,05909990720163,882
Bonogren,Quetiapinum, tabl. powl., 300 mg,60 szt.,05909990720309,883
Bonogren SR,Quetiapinum, tabletki o przed³u¿onym uwalnianiu, 200 mg,60 szt.,05909991326319,884
Bonogren SR,Quetiapinum, tabletki o przed³u¿onym uwalnianiu, 300 mg,60 szt.,05909991326371,885
Bonogren SR,Quetiapinum, tabletki o przed³u¿onym uwalnianiu, 400 mg,60 szt.,05909991326432,886
Bopaho,Bosentanum, tabl. powl., 62.5 mg,56 szt.,05909991102807,887
Bopaho,Bosentanum, tabl. powl., 125 mg,56 szt.,05909991102869,888
Bordered Granuflex - obramowany opatrunek hydrokoloidowy 10x10 cm,Emplastri hydrocolloidosa, opatrunek, 100 cm?,1 szt.,0768455150946,889
Bordered Granuflex - obramowany opatrunek hydrokoloidowy 15x15 cm,Emplastri hydrocolloidosa, opatrunek, 225 cm?,1 szt.,0768455150892,890
Bortezomib Accord,Bortezomibum, proszek do sporz¹dzania roztworu do wstrzykiwañ, 3.5 mg,1 fiol.,05055565718339,891
Bortezomib Accord,Bortezomibum, proszek do sporz¹dzania roztworu do wstrzykiwañ, 1 mg,1 fiol. 6 ml,05055565749142,892
Bortezomib Adamed,Bortezomibum, proszek do sporz¹dzania roztworu do wstrzykiwañ, 2.5 mg,1 fiol.,05900411003193,893
Bortezomib Adamed,Bortezomibum, proszek do sporz¹dzania roztworu do wstrzykiwañ, 1 mg,1 fiol.,05906414000771,894
Bortezomib Adamed,Bortezomibum, proszek do sporz¹dzania roztworu do wstrzykiwañ, 3.5 mg,1 fiol.,05906414000788,895
Bortezomib Glenmark,Bortezomibum, proszek do sporz¹dzania roztworu do wstrzykiwañ, 1 mg,1 fiol.,05902020241461,896
Bortezomib Glenmark,Bortezomibum, proszek do sporz¹dzania roztworu do wstrzykiwañ, 3.5 mg,1 fiol.,05902020241478,897
Bortezomib medac,Bortezomibum, proszek do sporz¹dzania roztworu do wstrzykiwañ, 1 mg,1 fiol.,05909991382124,898
Bortezomib medac,Bortezomibum, proszek do sporz¹dzania roztworu do wstrzykiwañ, 3.5 mg,1 fiol.,05909991382131,899
Bortezomib SUN,Bortezomibum, proszek do sporz¹dzania roztworu do wstrzykiwañ, 3.5 mg,1 fiol.,05909991351762,900
Bortezomib Zentiva,Bortezomibum, proszek do sporz¹dzania roztworu do wstrzykiwañ, 3.5 mg,1 fiol. proszku,05909991250812,901
Bortezomib Zentiva,Bortezomibum, proszek do sporz¹dzania roztworu do wstrzykiwañ, 1 mg,1 fiol. proszku,05909991250829,902
Bosentan Sandoz GmbH,Bosentanum, tabl. powl., 125 mg,56 szt.,05907626708004,903
Bosulif,Bosutinibum, tabl. powl., 100 mg,28 szt.,05909991056841,904
Bosulif,Bosutinibum, tabl. powl., 500 mg,28 szt.,05909991056865,905
Botox ,Toxinum botulinicum typum A ad iniectabile, proszek do sporz¹dzenia roztworu do wstrzykiwañ, 100 jednostek Allergan kompleksu neurotoksyny Clostridium botulinum typu A,1 fiol.,05909990674817,906
Braftovi,Encorafenibum, kaps. twarde, 50 mg,28 szt.,03573994003939,907
Braftovi,Encorafenibum, kaps. twarde, 75 mg,42 szt.,03573994003946,908
Braltus,Tiotropii bromidum, proszek do inhalacji w kapsu³ce twardej, 10 µg/dawkê dostarczan¹,30 szt. + 1 inhalator,05909991299545,909
Bramitob,Tobramycinum, roztwór do nebulizacji, 300 mg/4 ml,56 poj.po 4 ml,05909990045976,910
Briglau Free,Brimonidini tartras, krople do oczu; roztwór, 2 mg/ml,1 butelka po 5 ml,05909991379483,911
Briglau Free,Brimonidini tartras, krople do oczu; roztwór, 2 mg/ml,3 butelki po 5 ml,05909991379490,912
Briglau PPH,Brimonidinum, krople do oczu; roztwór, 2 mg/ml,5 ml (but.),05909990974641,913
Brintellix,Vortioxetini hydrobromidum, tabl. powl., 5 mg,28 szt.,05702150152749,914
Brintellix,Vortioxetini hydrobromidum, tabl. powl., 10 mg,28 szt.,05702157142187,915
Brinzolamide Genoptim,Brinzolamidum, krople do oczu; zawiesina, 10 mg/ml,1 but.po 5 ml,05909991250386,916
Briviact,Brivaracetamum, roztwór doustny, 10 mg/ml,300 ml,05909991272234,917
Briviact,Brivaracetamum, tabl. powl., 50 mg,56 szt.,05909991272333,918
Bromocorn,Bromocriptinum, tabl., 2.5 mg,30 szt.,05909990211913,919
BTM SuperCheck 1,Paski do oznaczania glukozy we krwi, test paskowy,,50 pasków (2 fiol. po 25 szt.),4719932588185,920
Budesonide Easyhaler,Budesonidum, proszek do inhalacji, 400 µg/dawkê,1 inh.po 100 daw. + opak. ochronne (zestaw startowy),05909990337286,921
Budesonide Easyhaler,Budesonidum, proszek do inhalacji, 200 µg/dawkê,1 inh.po 200 daw. (zestaw startowy),05909990337323,922
Budesonide Easyhaler,Budesonidum, proszek do inhalacji, 100 µg/dawkê,1 inh.po 200 daw. (zestaw startowy),05909990337354,923
Budezonid LEK-AM,Budesonidum, proszek do inhalacji w kaps. twardych, 400 ?g/dawkê inhalacyjn¹,60 kaps.,05909991203986,924
Budezonid LEK-AM,Budesonidum, proszek do inhalacji w kaps. twardych, 200 ?g/dawkê inhalacyjn¹,60 kaps.,05909991204082,925
Budezonid LEK-AM,Budesonidum, proszek do inhalacji w kaps. twardych, 200 ?g/dawkê inh.,120 szt.,05909991223793,926
Budezonid LEK-AM,Budesonidum, proszek do inhalacji w kaps. twardych, 400 ?g/dawkê inh.,120 szt.,05909991223809,927
Budiair,Budesonidum, aerozol inhalacyjny; roztwór, 200 µg/dawkê odmierzon¹,1 poj.po 200 daw. odmierzonych + inh.,05909990335169,928
Budiair,Budesonidum, aerozol inhalacyjny; roztwór, 200 µg/dawkê odmierzon¹,1 poj.po 200 daw. odmierzonych + inh. z komor¹ inhalacyjn¹ Jet,05909990335176,929
Budixon Neb,Budesonidum, zawiesina do nebulizacji, 0.125 mg/ml,20 poj. 2 ml,05906414002515,930
Budixon Neb,Budesonidum, zawiesina do nebulizacji, 0.25 mg/ml,20 poj. 2 ml,05906414002522,931
Budixon Neb,Budesonidum, zawiesina do nebulizacji, 0.5 mg/ml,20 poj. 2 ml,05906414002539,932
Bufomix Easyhaler,Budesonidum + Formoteroli fumaras dihydricus, proszek do inhalacji, 160+4.5 µg/dawkê inhalacyjn¹,1 inh.po 120 daw.,05909991137458,933
Bufomix Easyhaler,Budesonidum + Formoteroli fumaras dihydricus, proszek do inhalacji, 320+9 µg/dawkê inhalacyjn¹,1 inh.po 60 daw.,05909991137625,934
Bunondol,Buprenorphinum, tabl. podjêzykowe, 0.2 mg,60 szt. - blister,05909991235635,935
Bunondol,Buprenorphinum, tabl. podjêzykowe, 0.4 mg,30 szt. - blister,05909991235642,936
Buventol Easyhaler,Salbutamolum, proszek do inhalacji, 100 µg/dawkê,200 daw. (inhalator proszkowy + poj. ochronny),05909991106928,937
Buventol Easyhaler,Salbutamolum, proszek do inhalacji, 200 µg/dawkê,200 daw. (inhalator proszkowy + poj. ochronny),05909991107826,938
Cabometyx,Cabozantinibum, tabl. powi., 20 mg,30 szt.,03582186003947,939
Cabometyx,Cabozantinibum, tabl. powi., 40 mg,30 szt.,03582186003954,940
Cabometyx,Cabozantinibum, tabl. powi., 60 mg,30 szt.,03582186003961,941
Cachexan,Megestroli acetas, zawiesina doustna, 40 mg/ml,240 ml,05909990614608,942
Caelyx pegylated liposomal,Doxorubicinum, koncentrat do sporz¹dzania roztworu do infuzji, 2 mg/ml,1 fiol.po 10 ml,05909990983018,943
Calcium folinate Sandoz,Calcii folinas, roztwór do wstrzykiwañ i infuzji, 10 mg/ml,1 fiol. 5 ml,05907626707540,944
Calcium folinate Sandoz,Calcii folinas, roztwór do wstrzykiwañ i infuzji, 10 mg/ml,1 fiol. 10 ml,05907626707564,945
Calcium folinate Sandoz,Calcii folinas, roztwór do wstrzykiwañ i infuzji, 10 mg/ml,1 fiol. 20 ml,05907626707571,946
Calcium folinate Sandoz,Calcii folinas, roztwór do wstrzykiwañ i infuzji, 10 mg/ml,1 fiol. 35 ml,05907626707588,947
Calcium folinate Sandoz,Calcii folinas, roztwór do wstrzykiwañ i infuzji, 10 mg/ml,1 fiol. 50 ml,05907626707595,948
Calcium folinate Sandoz,Calcii folinas, roztwór do wstrzykiwañ i infuzji, 10 mg/ml,1 fiol. 100 ml,05907626707601,949
Calciumfolinat-Ebewe,Calcii folinas, kaps. twarde, 15 mg,20 szt.,05909990356713,950
Camlocor,Candesartanum cilexetili + Amlodipinum, tabl., 16 + 10 mg,28 szt.,03838989720544,951
Camlocor,Candesartanum cilexetili + Amlodipinum, tabl., 8 + 5 mg,28 szt.,05909991367510,952
Camlocor,Candesartanum cilexetili + Amlodipinum, tabl., 16 + 5 mg,28 szt.,05909991367732,953
Campto,Irinotecani hydrochloridum trihydricum, koncentrat do sporz¹dzania roztworu do infuzji, 20 mg/ml,1 fiol.po 15 ml,05909990645060,954
Campto,Irinotecani hydrochloridum trihydricum, koncentrat do sporz¹dzania roztworu do infuzji, 20 mg/ml,1 fiol.po 2 ml,05909990645176,955
Campto,Irinotecani hydrochloridum trihydricum, koncentrat do sporz¹dzania roztworu do infuzji, 20 mg/ml,1 fiol.po 5 ml,05909990645183,956
Candepres,Candesartanum cilexetilum, tabl., 8 mg,28 szt. (4 blist.po 7 szt.),05909990739592,957
Candepres,Candesartanum cilexetilum, tabl., 16 mg,28 szt. (4 blist.po 7 szt.),05909990739653,958
Candepres,Candesartanum cilexetilum, tabl., 32 mg,28 szt.,05909990739707,959
Candepres,Candesartanum cilexetili, tabl., 16 mg,28 szt.,05909991433109,960
Candepres,Candesartanum cilexetili, tabl., 32 mg,30 szt.,05909991453398,961
Candepres,Candesartanum cilexetili, tabl., 32 mg,28 szt.,05909991466602,962
Candepres HCT,Candesartanum cilexetilum + Hydrochlorothiazidum, tabl., 8+12.5 mg,28 szt.,05909990800360,963
Candepres HCT,Candesartanum cilexetilum + Hydrochlorothiazidum, tabl., 16+12.5 mg,28 szt.,05909990800629,964
Candepres HCT,Candesartanum cilexetilum + Hydrochlorothiazidum, tabl., 32+12.5 mg,28 szt.,05909991063702,965
Candepres HCT,Candesartanum cilexetilum + Hydrochlorothiazidum, tabl., 32+25 mg,28 szt.,05909991064051,966
Candepres HCT,Candesartanum cilexetili + Hydrochlorothiazidum, tabl., 16+12.5 mg,30 szt.,05909991450014,967
Candezek Combi,Candesartanum cilexetili + Amlodipinum, kapsu³ki twarde, 8 + 5 mg,30 kaps.,05906414001969,968
Candezek Combi,Candesartanum cilexetili + Amlodipinum, kaps. twarde, 8 + 5 mg,90 kaps.,05906414001990,969
Candezek Combi,Candesartanum cilexetili + Amlodipinum, kapsu³ki twarde, 8 + 10 mg,30 kaps.,05906414002027,970
Candezek Combi,Candesartanum cilexetili + Amlodipinum, kaps. twarde, 8 + 10 mg,90 kaps.,05906414002058,971
Candezek Combi,Candesartanum cilexetili + Amlodipinum, kapsu³ki twarde, 16 + 5 mg,30 kaps.,05906414002089,972
Candezek Combi,Candesartanum cilexetili + Amlodipinum, kaps. twarde, 16 + 5 mg,90 kaps.,05906414002119,973
Candezek Combi,Candesartanum cilexetili + Amlodipinum, kapsu³ki twarde, 16 + 10 mg,30 kaps.,05906414002140,974
Candezek Combi,Candesartanum cilexetili + Amlodipinum, kaps. twarde, 16 + 10 mg,90 kaps.,05906414002171,975
Candifluc/Fluconazolum Aflofarm,Fluconazolum, syrop, 5 mg/ml,1 but. 150 ml,05909991257804,976
Capecitabine Accord,Capecitabinum, tabl. powl., 150 mg,60 szt.,05055565707531,977
Capecitabine Accord,Capecitabinum, tabl. powl., 500 mg,120 szt.,05055565707548,978
Capecitabine Accord,Capecitabinum, tabl. powl., 300 mg,60 szt.,05055565709153,979
Capecitabine Glenmark,Capecitabinum, tabl. powl., 500 mg,120 szt.,05909991004699,980
Capecitabine Glenmark,Capecitabinum, tabl. powl., 150 mg,60 szt.,05909991004736,981
Caprelsa,Vandetanibum, tabl. powl., 100 mg,30 szt.,05909990935437,982
Caprelsa,Vandetanibum, tabl. powl., 300 mg,30 szt.,05909990935444,983
Caramlo,Candesartanum cilexetili + Amlodipinum, tabl., 8 + 5 mg,28 szt.,05909991191764,984
Caramlo,Candesartanum cilexetili + Amlodipinum, tabl., 16 + 10 mg,28 szt.,05909991191832,985
Caramlo,Candesartanum cilexetili + Amlodipinum, tabl., 16 + 5 mg,28 szt.,05909991418076,986
Carbomedac,Carboplatinum, koncentrat do sporz¹dzania roztworu do infuzji, 10 mg/ml,1 fiol. po 5 ml,05909990816156,987
Carbomedac,Carboplatinum, koncentrat do sporz¹dzania roztworu do infuzji, 10 mg/ml,1 fiol. po 15 ml,05909990816163,988
Carbomedac,Carboplatinum, koncentrat do sporz¹dzania roztworu do infuzji, 10 mg/ml,1 fiol. po 45 ml,05909990816170,989
