identyfikator_leku,zakres_wskazan,zakres_wskazan_pozarejestracyjnych,poziom_odplatnosci,wysokosc_doplaty_swiadczeniobiorcy,id_leku
05909990643059,Ból przebijaj¹cy u doros³ych pacjentów z chorob¹ nowotworow¹; którzy w ramach leczenia przewlek³ego bólu nowotworowego poddawani s¹ opioidowej terapii podtrzymuj¹cej; a u których istniej¹ udokumentowane przeciwwskazania do stosowania innych krótkotrwale dzia³aj¹cych opioidów lub stwierdzono nieskutecznoœæ tych leków,,rycza³t,3.2,1542
05909990368624,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,,rycza³t,4.41,1543
05909990452118,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,,rycza³t,6,1544
05909990936779,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,,30%,3.63,1545
05909990936779,,,,,1545
05909990936809,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,,30%,6.7,1546
05909990936809,,,,,1546
05909990936854,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,,30%,3.63,1547
05909990936854,,,,,1547
05909990936885,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,,30%,6.7,1548
05909990936885,,,,,1548
05909990082148,Nowotwory z³oœliwe - Rak piersi w II rzucie hormonoterapii; Wczesny rak piersi w I rzucie hormonoterapii,hormonozale¿ny i HER2-ujemny rak piersi w I rzucie hormonoterapii stosowanej z powodu zaawansowanego nowotworu (mo¿liwe wczeœniejsze stosowanie hormonoterapii uzupe³niaj¹cej wczesnego raka piersi) w przypadkach innych ni¿ w ChPL,bezp³atny do limitu,7.94,1549
05909991453695,Nowotwory z³oœliwe - Rak piersi w II rzucie hormonoterapii; Wczesny rak piersi w I rzucie hormonoterapii,hormonozale¿ny i HER2-ujemny rak piersi w I rzucie hormonoterapii stosowanej z powodu zaawansowanego nowotworu (mo¿liwe wczeœniejsze stosowanie hormonoterapii uzupe³niaj¹cej wczesnego raka piersi) w przypadkach innych ni¿ w ChPL,bezp³atny do limitu,0,1550
05909991464288,Nowotwory z³oœliwe - Rak piersi w II rzucie hormonoterapii; Wczesny rak piersi w I rzucie hormonoterapii,hormonozale¿ny i HER2-ujemny rak piersi w I rzucie hormonoterapii stosowanej z powodu zaawansowanego nowotworu (mo¿liwe wczeœniejsze stosowanie hormonoterapii uzupe³niaj¹cej wczesnego raka piersi) w przypadkach innych ni¿ w ChPL,bezp³atny do limitu,0,1551
05909990824076,Schizofrenia; Choroba afektywna dwubiegunowa,choroba Huntingtona,rycza³t,4.18,1552
05909990824106,Schizofrenia; Choroba afektywna dwubiegunowa,choroba Huntingtona,rycza³t,3.2,1553
05909990827343,Schizofrenia; Choroba afektywna dwubiegunowa,choroba Huntingtona,rycza³t,5.97,1554
05909991095666,Schizofrenia; Choroba afektywna dwubiegunowa,choroba Huntingtona,rycza³t,3.2,1555
05909991461294,Schizofrenia; Choroba afektywna dwubiegunowa,,rycza³t,3.2,1556
05909991461300,Schizofrenia; Choroba afektywna dwubiegunowa,,rycza³t,5.97,1557
05909990053742,,,bezp³atny,0,1558
05909990075751,Nowotwory z³oœliwe - Rak prostaty,obni¿enie popêdu u osób z rozpoznaniem zaburzeñ preferencji seksualnych w przypadku braku skutecznoœci lub przeciwwskazañ do stosowania cyproteronu,rycza³t,98.22,1559
05909990634057,Nowotwory z³oœliwe - Rak prostaty,obni¿enie popêdu u osób z rozpoznaniem zaburzeñ preferencji seksualnych w przypadku braku skutecznoœci lub przeciwwskazañ do stosowania cyproteronu,rycza³t,116.09,1560
05909990075768,Nowotwory z³oœliwe - Rak prostaty,obni¿enie popêdu u osób z rozpoznaniem zaburzeñ preferencji seksualnych w przypadku braku skutecznoœci lub przeciwwskazañ do stosowania cyproteronu,rycza³t,99.97,1561
05909990861040,<1>¯ylne powik³ania zakrzepowo-zatorowe u doros³ych pacjentów po przebytej planowej alloplastyce ca³kowitej stawu biodrowego (do 38 dnia po przebytej alloplastyce) lub kolanowego (do 14 dnia po przebytej alloplastyce) - prewencja pierwotna; <2>Leczenie zakrzepicy ¿y³ g³êbokich lub zatorowoœci p³ucnej oraz profilaktyka nawrotowej zakrzepicy ¿y³ g³êbokich i zatorowoœci p³ucnej,,30%,50.05,1562
05909990861040,,,,,1562
05909991019396,Leczenie zakrzepicy ¿y³ g³êbokich lub zatorowoœci p³ucnej oraz profilaktyka nawrotowej zakrzepicy ¿y³ g³êbokich i zatorowoœci p³ucnej,,30%,120.53,1563
05909991019396,,,,,1563
05906071039657,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,,50%,8.29,1564
05906071039657,,,,,1564
05909991246457,,,bezp³atny,0,1565
05909991246464,,,bezp³atny,0,1566
05909991246488,,,bezp³atny,0,1567
05909991246495,,,bezp³atny,0,1568
05909991246501,,,bezp³atny,0,1569
05909991246518,,,bezp³atny,0,1570
05909997077482,Kontrolowana hiperstymulacja jajników w skojarzeniu z antagonist¹ GnRH u pacjentek w wieku poni¿ej 40 roku ¿ycia w celu uzyskania rozwoju mnogich pêcherzyków; rokuj¹cych uzyskanie prawid³owej odpowiedzi na stymulacjê jajeczkowania (hormon folikulotropowy - FSH poni¿ej 15 mlU/ml w 2-3 dniu cyklu lub hormon antymüllerowski - AMH powy¿ej 0;7 ng/ml (wg II standardu)); u których nie stwierdza siê wczeœniejszych; niedostatecznych odpowiedzi na stymulacjê owulacji oraz bez nawracaj¹cych poronieñ z tym samym partnerem – refundacja do 3 cykli,,rycza³t,3.2,1571
05909997077499,Kontrolowana hiperstymulacja jajników w skojarzeniu z antagonist¹ GnRH u pacjentek w wieku poni¿ej 40 roku ¿ycia w celu uzyskania rozwoju mnogich pêcherzyków; rokuj¹cych uzyskanie prawid³owej odpowiedzi na stymulacjê jajeczkowania (hormon folikulotropowy - FSH poni¿ej 15 mlU/ml w 2-3 dniu cyklu lub hormon antymüllerowski - AMH powy¿ej 0;7 ng/ml (wg II standardu)); u których nie stwierdza siê wczeœniejszych; niedostatecznych odpowiedzi na stymulacjê owulacji oraz bez nawracaj¹cych poronieñ z tym samym partnerem – refundacja do 3 cykli,,rycza³t,3.2,1572
05909990926497,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,,50%,4.42,1573
05909990926534,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,,50%,8.46,1574
05909991074975,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,,50%,8.46,1575
05909991074999,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,,50%,16.01,1576
05909990007387,Wczesne albo opóŸnione wymioty u osób doros³ych zwi¹zane z silnie emetogenn¹ chemioterapi¹ z zastosowaniem cisplatyny w dawce >70 mg/m2 – profilaktyka,,rycza³t,3.2,1577
05909990007387,,,bezp³atny,0,1577
05909990014934,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,niewydolnoœæ serca inna ni¿ okreœlona w ChPL - u dzieci do 18 roku ¿ycia; przewlek³a choroba nerek u dzieci do 18 roku ¿ycia; leczenie renoprotekcyjne u dzieci do 18 roku ¿ycia,rycza³t,3.88,1578
05909990014934,,,,,1578
05909990014958,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,niewydolnoœæ serca inna ni¿ okreœlona w ChPL - u dzieci do 18 roku ¿ycia; przewlek³a choroba nerek u dzieci do 18 roku ¿ycia; leczenie renoprotekcyjne u dzieci do 18 roku ¿ycia,rycza³t,5.13,1579
05909990014958,,,,,1579
05909990015030,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,niewydolnoœæ serca inna ni¿ okreœlona w ChPL - u dzieci do 18 roku ¿ycia; przewlek³a choroba nerek u dzieci do 18 roku ¿ycia; leczenie renoprotekcyjne u dzieci do 18 roku ¿ycia,rycza³t,4.02,1580
05909990015030,,,,,1580
05909990015054,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,niewydolnoœæ serca inna ni¿ okreœlona w ChPL - u dzieci do 18 roku ¿ycia; przewlek³a choroba nerek u dzieci do 18 roku ¿ycia; leczenie renoprotekcyjne u dzieci do 18 roku ¿ycia,rycza³t,7.59,1581
05909990015054,,,,,1581
05909990020829,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,niewydolnoœæ serca inna ni¿ okreœlona w ChPL - u dzieci do 18 roku ¿ycia; przewlek³a choroba nerek u dzieci do 18 roku ¿ycia; leczenie renoprotekcyjne u dzieci do 18 roku ¿ycia,rycza³t,12.8,1582
05909990020829,,,,,1582
05909990020836,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,niewydolnoœæ serca inna ni¿ okreœlona w ChPL - u dzieci do 18 roku ¿ycia; przewlek³a choroba nerek u dzieci do 18 roku ¿ycia; leczenie renoprotekcyjne u dzieci do 18 roku ¿ycia,rycza³t,7.07,1583
05909990020836,,,,,1583
05909990618255,,,bezp³atny,0,1584
05909990712755,,,bezp³atny,0,1585
05909990777938,,,bezp³atny,0,1586
05909990880881,,,bezp³atny,0,1587
05904374007946,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,autoimmunizacyjne zapalenie trzustki u dzieci do 18 roku ¿ycia; eozynofilowe zapalenie jelit u dzieci do 18 roku ¿ycia; stan po przeszczepie nerki u dzieci do 18 roku ¿ycia,rycza³t,7.14,1588
05904374007946,,,,,1588
05909990405312,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,<1>eozynofilowe zapalenie jelit u dzieci do 18 roku ¿ycia; <2>miastenia; zespó³ miasteniczny; miopatia zapalna; neuropatia zapalna (z wyj¹tkiem zespo³u Guillaina - Barrego); <3>obturacyjne choroby p³uc - w przypadkach innych ni¿ okreœlone w ChPL; choroby autoimmunizacyjne - w przypadkach innych ni¿ okreœlone w ChPL; stan po przeszczepie narz¹du; koñczyny; tkanek; komórek lub szpiku; <4>miopatia wrodzona u dzieci do 18 roku ¿ycia,rycza³t,11.7,1589
05909990405312,Nowotwory z³oœliwe,,bezp³atny do limitu,8.5,1589
05909990405312,,,,,1589
05909990405411,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,<1>eozynofilowe zapalenie jelit u dzieci do 18 roku ¿ycia; <2>miastenia; zespó³ miasteniczny; miopatia zapalna; neuropatia zapalna (z wyj¹tkiem zespo³u Guillaina - Barrego); <3>obturacyjne choroby p³uc - w przypadkach innych ni¿ okreœlone w ChPL; choroby autoimmunizacyjne - w przypadkach innych ni¿ okreœlone w ChPL; stan po przeszczepie narz¹du; koñczyny; tkanek; komórek lub szpiku; <4>miopatia wrodzona u dzieci do 18 roku ¿ycia,rycza³t,8.54,1590
05909990405411,Nowotwory z³oœliwe,,bezp³atny do limitu,4.27,1590
05909990405411,,,,,1590
05909990641185,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,<1>eozynofilowe zapalenie jelit u dzieci do 18 roku ¿ycia; <2>miastenia; zespó³ miasteniczny; miopatia zapalna; neuropatia zapalna (z wyj¹tkiem zespo³u Guillaina - Barrego); <3>obturacyjne choroby p³uc - w przypadkach innych ni¿ okreœlone w ChPL; choroby autoimmunizacyjne - w przypadkach innych ni¿ okreœlone w ChPL; stan po przeszczepie narz¹du; koñczyny; tkanek; komórek lub szpiku; <4>miopatia wrodzona u dzieci do 18 roku ¿ycia,rycza³t,9.37,1591
05909990641185,Nowotwory z³oœliwe,,bezp³atny do limitu,6.17,1591
05909990641185,,,,,1591
05909990641192,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,<1>eozynofilowe zapalenie jelit u dzieci do 18 roku ¿ycia; <2>miastenia; zespó³ miasteniczny; miopatia zapalna; neuropatia zapalna (z wyj¹tkiem zespo³u Guillaina - Barrego); <3>obturacyjne choroby p³uc - w przypadkach innych ni¿ okreœlone w ChPL; choroby autoimmunizacyjne - w przypadkach innych ni¿ okreœlone w ChPL; stan po przeszczepie narz¹du; koñczyny; tkanek; komórek lub szpiku; <4>miopatia wrodzona u dzieci do 18 roku ¿ycia,rycza³t,5.33,1592
05909990641192,Nowotwory z³oœliwe,,bezp³atny do limitu,0,1592
05909990641192,,,,,1592
05909991289416,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,<1>eozynofilowe zapalenie jelit u dzieci do 18 roku ¿ycia; <2>miastenia; zespó³ miasteniczny; miopatia zapalna; neuropatia zapalna (z wyj¹tkiem zespo³u Guillaina - Barrego); <3>obturacyjne choroby p³uc - w przypadkach innych ni¿ okreœlone w ChPL; choroby autoimmunizacyjne - w przypadkach innych ni¿ okreœlone w ChPL; stan po przeszczepie narz¹du; koñczyny; tkanek; komórek lub szpiku; <4>miopatia wrodzona u dzieci do 18 roku ¿ycia,rycza³t,8.2,1593
05909991289416,Nowotwory z³oœliwe,,bezp³atny do limitu,7.02,1593
05909991289416,,,,,1593
05901797710804,Endometrioza,,rycza³t,5.58,1594
05909991398569,Endometrioza,,rycza³t,6.15,1595
05909991398576,Endometrioza,,rycza³t,10.01,1596
05909990240814,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,<1>choroby autoimmunizacyjne; amyloidoza; <2>zespó³ hemofagocytowy; zespó³ POEMS; ma³op³ytkowoœæ oporna na leczenie kortykosteroidami; anemia hemolityczna oporna na leczenie kortykosteroidami; <3>sarkoidoza; œródmi¹¿szowe zapalenie p³uc - w przypadkach innych ni¿ okreœlone w ChPL - z wyj¹tkiem idiopatycznego w³óknienia p³uc,rycza³t,3.2,1597
05909990240814,Nowotwory z³oœliwe,,bezp³atny do limitu,0,1597
05909990240814,,,bezp³atny,0,1597
05909990240913,,,bezp³atny,0,1599
05909990241019,,,bezp³atny,0,1600
07613421044596,Podtrzymuj¹ce leczenie astmy u doros³ych pacjentów; u których nie uzyskano odpowiedniej kontroli choroby w wyniku podtrzymuj¹cego leczenia skojarzonego d³ugo dzia³aj¹cym beta2-mimetykiem i kortykosteroidem wziewnym podawanym w du¿ych dawkach; u których wyst¹pi³o co najmniej jedno zaostrzenie astmy w poprzednim roku,,30%,58,1601
07613421044596,,,,,1601
05909991283599,Leczenie miejscowe ³uszczycy zwyczajnej u doros³ych,,30%,104.41,1602
05055565742532,,,bezp³atny,0,1603
05055565742549,,,bezp³atny,0,1604
05909991363734,,,bezp³atny,0,1605
05909991363826,,,bezp³atny,0,1606
05909991337957,,,bezp³atny,0,1607
05909991337971,,,bezp³atny,0,1608
05909991347451,,,bezp³atny,0,1609
05909991347468,,,bezp³atny,0,1610
05909991369576,,,bezp³atny,0,1611
05909991369590,,,bezp³atny,0,1612
05906414003123,,,bezp³atny,0,1613
05906414003130,,,bezp³atny,0,1614
05909990430314,Choroba Leœniowskiego-Crohna,postaæ jelitowa choroby przeszczep przeciwko gospodarzowi,rycza³t,3.56,1615
05909991138202,,,bezp³atny,0,1616
05909991192709,Stan po przeszczepie narz¹du unaczynionego b¹dŸ szpiku,<1>stan po przeszczepie koñczyny; rogówki; tkanek lub komórek; <2>miastenia; <3>idiopatyczny zespó³ nerczycowy - w przypadku nietolerancji cyklosporyny lub opornoœci na cyklosporynê; toczniowe zapalenie nerek - w przypadku nietolerancji cyklosporyny lub opornoœci na cyklosporynê,rycza³t,3.74,1617
05909991192730,Stan po przeszczepie narz¹du unaczynionego b¹dŸ szpiku,<1>stan po przeszczepie koñczyny; rogówki; tkanek lub komórek; <2>miastenia; <3>idiopatyczny zespó³ nerczycowy - w przypadku nietolerancji cyklosporyny lub opornoœci na cyklosporynê; toczniowe zapalenie nerek - w przypadku nietolerancji cyklosporyny lub opornoœci na cyklosporynê,rycza³t,3.91,1618
05909991192754,Stan po przeszczepie narz¹du unaczynionego b¹dŸ szpiku,<1>stan po przeszczepie koñczyny; rogówki; tkanek lub komórek; <2>miastenia; <3>idiopatyczny zespó³ nerczycowy - w przypadku nietolerancji cyklosporyny lub opornoœci na cyklosporynê; toczniowe zapalenie nerek - w przypadku nietolerancji cyklosporyny lub opornoœci na cyklosporynê,rycza³t,3.52,1619
05909991192761,Stan po przeszczepie narz¹du unaczynionego b¹dŸ szpiku,<1>stan po przeszczepie koñczyny; rogówki; tkanek lub komórek; <2>miastenia; <3>idiopatyczny zespó³ nerczycowy - w przypadku nietolerancji cyklosporyny lub opornoœci na cyklosporynê; toczniowe zapalenie nerek - w przypadku nietolerancji cyklosporyny lub opornoœci na cyklosporynê,rycza³t,3.66,1620
05391507142108,,,bezp³atny,0,1621
05909991104313,,,bezp³atny,0,1622
05909991104320,,,bezp³atny,0,1623
05909991104337,,,bezp³atny,0,1624
05909991104344,,,bezp³atny,0,1625
05909990796373,,,bezp³atny,0,1626
05909990796397,,,bezp³atny,0,1627
05909991029869,,,bezp³atny,0,1628
05909990649556,Padaczka oporna na leczenie,zespó³ Tourette'a,rycza³t,4.74,1629
05909990649570,Padaczka oporna na leczenie,zespó³ Tourette'a,rycza³t,5.36,1630
05909990649594,Padaczka oporna na leczenie,zespó³ Tourette'a,rycza³t,5.6,1631
05909990649617,Padaczka oporna na leczenie,zespó³ Tourette'a,rycza³t,4.63,1632
05909990334766,<1>Padaczka oporna na leczenie; <2>Choroba afektywna dwubiegunowa,<1>stan po epizodzie padaczkowym indukowanym przerzutami w obrêbie oœrodkowego uk³adu nerwowego - postêpowanie wspomagaj¹ce; <2>neuralgia lub neuropatia w obrêbie twarzy,rycza³t,3.2,1633
05909990334766,,,,,1633
05909990334759,<1>Padaczka oporna na leczenie; <2>Choroba afektywna dwubiegunowa,<1>stan po epizodzie padaczkowym indukowanym przerzutami w obrêbie oœrodkowego uk³adu nerwowego - postêpowanie wspomagaj¹ce; <2>neuralgia lub neuropatia w obrêbie twarzy,rycza³t,3.2,1634
05909990334759,,,,,1634
05909990946426,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,<1>choroby autoimmunizacyjne inne ni¿ okreœlone w ChPL; zespó³ Alporta z bia³komoczem u dzieci do 18 roku ¿ycia; anemia aplastyczna u dzieci do 18 roku ¿ycia; nieswoiste zapalenie jelit u dzieci do 18 roku ¿ycia; <2>aplazja lub hipoplazja szpiku kostnego; bia³aczka z du¿ych granularnych limfocytów T; wybiórcza aplazja uk³adu czerwonokrwinkowego; zespó³ aktywacji makrofagów; zespó³ hemofagocytowy; ma³op³ytkowoœæ oporna na leczenie; zespó³ mielodysplastyczny - leczenie paliatywne; stan po przeszczepie koñczyny; rogówki; tkanek lub komórek,rycza³t,3.38,1635
05909990946525,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,<1>choroby autoimmunizacyjne inne ni¿ okreœlone w ChPL; zespó³ Alporta z bia³komoczem u dzieci do 18 roku ¿ycia; anemia aplastyczna u dzieci do 18 roku ¿ycia; nieswoiste zapalenie jelit u dzieci do 18 roku ¿ycia; <2>aplazja lub hipoplazja szpiku kostnego; bia³aczka z du¿ych granularnych limfocytów T; wybiórcza aplazja uk³adu czerwonokrwinkowego; zespó³ aktywacji makrofagów; zespó³ hemofagocytowy; ma³op³ytkowoœæ oporna na leczenie; zespó³ mielodysplastyczny - leczenie paliatywne; stan po przeszczepie koñczyny; rogówki; tkanek lub komórek,rycza³t,3.2,1636
05909990946624,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,<1>choroby autoimmunizacyjne inne ni¿ okreœlone w ChPL; zespó³ Alporta z bia³komoczem u dzieci do 18 roku ¿ycia; anemia aplastyczna u dzieci do 18 roku ¿ycia; nieswoiste zapalenie jelit u dzieci do 18 roku ¿ycia; <2>aplazja lub hipoplazja szpiku kostnego; bia³aczka z du¿ych granularnych limfocytów T; wybiórcza aplazja uk³adu czerwonokrwinkowego; zespó³ aktywacji makrofagów; zespó³ hemofagocytowy; ma³op³ytkowoœæ oporna na leczenie; zespó³ mielodysplastyczny - leczenie paliatywne; stan po przeszczepie koñczyny; rogówki; tkanek lub komórek,rycza³t,3.41,1637
05909990946716,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,<1>choroby autoimmunizacyjne inne ni¿ okreœlone w ChPL; zespó³ Alporta z bia³komoczem u dzieci do 18 roku ¿ycia; anemia aplastyczna u dzieci do 18 roku ¿ycia; nieswoiste zapalenie jelit u dzieci do 18 roku ¿ycia; <2>aplazja lub hipoplazja szpiku kostnego; bia³aczka z du¿ych granularnych limfocytów T; wybiórcza aplazja uk³adu czerwonokrwinkowego; zespó³ aktywacji makrofagów; zespó³ hemofagocytowy; ma³op³ytkowoœæ oporna na leczenie; zespó³ mielodysplastyczny - leczenie paliatywne; stan po przeszczepie koñczyny; rogówki; tkanek lub komórek,rycza³t,3.2,1638
05909991460679,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,<1>choroby autoimmunizacyjne inne ni¿ okreœlone w ChPL; zespó³ Alporta z bia³komoczem u dzieci do 18 roku ¿ycia; anemia aplastyczna u dzieci do 18 roku ¿ycia; nieswoiste zapalenie jelit u dzieci do 18 roku ¿ycia; <2>aplazja lub hipoplazja szpiku kostnego; bia³aczka z du¿ych granularnych limfocytów T; wybiórcza aplazja uk³adu czerwonokrwinkowego; zespó³ aktywacji makrofagów; zespó³ hemofagocytowy; ma³op³ytkowoœæ oporna na leczenie; zespó³ mielodysplastyczny - leczenie paliatywne; stan po przeszczepie koñczyny; rogówki; tkanek lub komórek,rycza³t,3.2,1639
05909990035922,,,bezp³atny,0,1640
05909990035946,,,bezp³atny,0,1641
09002260025770,,,bezp³atny,0,1642
09002260025787,,,bezp³atny,0,1643
09002260025794,,,bezp³atny,0,1644
05909990621057,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,,50%,14.78,1645
05909990621057,,,,,1645
05909990621064,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,,50%,27.24,1646
05909990621064,,,,,1646
05909990211517,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,,50%,2.56,1647
05902768001020,,,bezp³atny,0,1648
05413868117059,,,bezp³atny,0,1649
03838989722128,,,bezp³atny,0,1650
03838989722135,,,bezp³atny,0,1651
05909991417673,,,bezp³atny,0,1652
05909991417680,,,bezp³atny,0,1653
05909991417697,,,bezp³atny,0,1654
05902768001181,,,bezp³atny,0,1655
05902768001198,,,bezp³atny,0,1656
05902768001211,,,bezp³atny,0,1657
05909991388669,Hipercholesterolemia LDL-C powy¿ej 130 mg/dl utrzymuj¹ca siê pomimo terapii statynami w przypadku: stanu po zawale serca lub rewaskularyzacji wieñcowej (przezskórnej lub kardiochirurgicznej); stanu po rewaskularyzacji obwodowej lub amputacji obwodowej z powodu choroby mia¿d¿ycowej; hipercholesterolemii rodzinnej,,30%,13.2,1658
05909991388669,,,,,1658
05909990330713,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,F64.0 (wg ICD-10),30%,4.7,1659
05909990823215,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,F64.0 (wg ICD-10),30%,7.9,1660
05909990798094,Nowotwory z³oœliwe; Rak piersi w II rzucie hormonoterapii,hormonozale¿ny i HER2-ujemny rak piersi w I rzucie hormonoterapii stosowanej z powodu zaawansowanego nowotworu (mo¿liwe wczeœniejsze stosowanie hormonoterapii uzupe³niaj¹cej wczesnego raka piersi) w przypadkach innych ni¿ w ChPL,bezp³atny do limitu,19.52,1661
05909991352400,Cukrzyca,zespo³y insulinoopornoœci w przypadkach innych ni¿ w przebiegu cukrzycy,rycza³t,5.25,1662
05909991352400,,,,,1662
05909991352417,Cukrzyca,zespo³y insulinoopornoœci w przypadkach innych ni¿ w przebiegu cukrzycy,rycza³t,6.78,1663
05909991352417,,,,,1663
05909990698141,Cukrzyca,zespo³y insulinoopornoœci w przypadkach innych ni¿ w przebiegu cukrzycy,rycza³t,6.06,1664
05909990698141,,,,,1664
05909990698172,Cukrzyca,zespo³y insulinoopornoœci w przypadkach innych ni¿ w przebiegu cukrzycy,rycza³t,7.23,1665
05909990698172,,,,,1665
05909990698257,Cukrzyca,zespo³y insulinoopornoœci w przypadkach innych ni¿ w przebiegu cukrzycy,rycza³t,5.17,1666
05909990698257,,,,,1666
05909990698271,Cukrzyca,zespo³y insulinoopornoœci w przypadkach innych ni¿ w przebiegu cukrzycy,rycza³t,6.29,1667
05909990698271,,,,,1667
07613421049256,Cukrzyca,zespo³y insulinoopornoœci w przypadkach innych ni¿ w przebiegu cukrzycy,rycza³t,5.77,1668
07613421049256,,,,,1668
07613421049263,Cukrzyca,zespo³y insulinoopornoœci w przypadkach innych ni¿ w przebiegu cukrzycy,rycza³t,8.26,1669
07613421049263,,,,,1669
07613421049270,Cukrzyca,zespo³y insulinoopornoœci w przypadkach innych ni¿ w przebiegu cukrzycy,rycza³t,12.63,1670
07613421049270,,,,,1670
07613421049287,Cukrzyca,zespo³y insulinoopornoœci w przypadkach innych ni¿ w przebiegu cukrzycy,rycza³t,7.04,1671
07613421049287,,,,,1671
07613421049294,Cukrzyca,zespo³y insulinoopornoœci w przypadkach innych ni¿ w przebiegu cukrzycy,rycza³t,10.54,1672
07613421049294,,,,,1672
07613421049300,Cukrzyca,zespo³y insulinoopornoœci w przypadkach innych ni¿ w przebiegu cukrzycy,rycza³t,18.2,1673
07613421049300,,,,,1673
07613421049317,Cukrzyca,zespo³y insulinoopornoœci w przypadkach innych ni¿ w przebiegu cukrzycy,rycza³t,8.26,1674
07613421049317,,,,,1674
07613421049324,Cukrzyca,zespo³y insulinoopornoœci w przypadkach innych ni¿ w przebiegu cukrzycy,rycza³t,12.63,1675
07613421049324,,,,,1675
07613421049331,Cukrzyca,zespo³y insulinoopornoœci w przypadkach innych ni¿ w przebiegu cukrzycy,rycza³t,23.61,1676
07613421049331,,,,,1676
05909990227310,GruŸlica; w tym równie¿ gruŸlica lekooporna i inne mykobakteriozy,,bezp³atny do limitu,0,1677
05909990806355,Schizofrenia,zaburzenia psychiczne inne ni¿ wymienione w ChPL u pacjentów z otêpieniem,rycza³t,5.48,1678
05909990806362,Schizofrenia,,rycza³t,4.39,1679
05909990806386,Schizofrenia,,rycza³t,3.2,1680
05909991402303,Hipercholesterolemia LDL-C powy¿ej 130 mg/dl utrzymuj¹ca siê pomimo terapii statynami w przypadku: stanu po zawale serca lub rewaskularyzacji wieñcowej (przezskórnej lub kardiochirurgicznej); stanu po rewaskularyzacji obwodowej lub amputacji obwodowej z powodu choroby mia¿d¿ycowej; hipercholesterolemii rodzinnej,,30%,3.85,1681
05909991402303,,,,,1681
05909991402310,Hipercholesterolemia LDL-C powy¿ej 130 mg/dl utrzymuj¹ca siê pomimo terapii statynami w przypadku: stanu po zawale serca lub rewaskularyzacji wieñcowej (przezskórnej lub kardiochirurgicznej); stanu po rewaskularyzacji obwodowej lub amputacji obwodowej z powodu choroby mia¿d¿ycowej; hipercholesterolemii rodzinnej,,30%,11.26,1682
05909991402310,,,,,1682
05909990776016,,,bezp³atny,0,1683
05909990776115,,,bezp³atny,0,1684
05909990776214,,,bezp³atny,0,1685
05909990776313,,,bezp³atny,0,1686
05909991198121,,,bezp³atny,0,1687
05909991233297,,,bezp³atny,0,1688
05909991233303,,,bezp³atny,0,1689
05909990061464,Padaczka oporna na leczenie,zespó³ Tourette'a,rycza³t,7.62,1690
05909990061471,Padaczka oporna na leczenie,zespó³ Tourette'a,rycza³t,6.1,1691
05909990061488,Padaczka oporna na leczenie,zespó³ Tourette'a,rycza³t,5.12,1692
05909990061495,Padaczka oporna na leczenie,zespó³ Tourette'a,rycza³t,7.49,1693
